'序号,'昵称,'视频ID,'视频标题,'发布时间↓,'点赞↓,'评论↓,'分享↓,'商品标题,'商品价格,'商品销量,'抖音号,'UID,'视频地址,'商品地址,'粉丝福利,'商品来源,'商品id,'音乐id,,,BPM,KEY,音乐链接
'1,'[置顶]美兰Lan,'6717814812774026504,'闺蜜遇到绿茶应该怎样配合解决？#美妆 @乃提Guli,'2019-07-26 17:49:50,'840297,'2623,'2258,'HEDONE内心戏镜面唇釉玻璃水光唇蜜口红一克喜欢半熟期待果汁唇油,'36664,'85,'1117823128,'101200185471,'http://v26-dy.ixigua.com/1e3f7583bc4b6a82c957449468b161ec/5f0924cd/video/m/2205b92c3026e714f2ea2d610ed7f4fb2131162ff25f00009d057ea86590/?a=1128&br=2769&bt=923&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=MzN4ZW5rZjNmbjMzOGkzM0ApPDw6ZTc7PGRkNzQ5NTc4O2dvbF9ia19rbXFfLS1fLTBzc2MyLzE1LmM2LzEvY14uY146Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DxTsDVhk%2BuQtw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMU9RI7cBOoZ5RitN3%2FurF3ygo4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMA3AH%2B%2FtbjUKvEX1hlZoQF%2B%2F1SarTXhIOTY%2BB6b2yaC%2B4cTNWtqRPez%2F7nyHmkoZi79IE6tILtE8BZFSug8cI33NMtvXBoP%2F8Im7mCYPNDvKSXwxfIS7TjS5EIiGF4IqgdIPgUSaeV582hhtE3qy9fAnEqY%2Bakgpmw&union_lens=lensId:0b0b6072_0c93_16d9512ab85_0509&xId=ovUAOKVquGrz0R5fmjfgZzjmW6eE7mQkv04niSodCUQmipoof6Ejn9bEFNExJIFkhckOr93ePPu2ripTR4HKgu&union_lens=lensId:0b0fc015_0c11_16d9512ab85_3a79,'https://uland.taobao.com/coupon/edetail?e=KESC172ZiZAGQASttHIRqVD85eMYe0f0E53XViAg7Y%2F2oFX1XtpywYUxDakcsl21QiXkodPAUWZJuYKLk95oBXt9FBmzVyrLNqlX6WMFrEwXDeHFYFDhNbgYcl6ppmbB77OZi1CaWIp%2BMcw1PGxgpDEhJpUUrcnY0XgA0FWhMYrdyxJOMGkWr8Rlqw%2FTjW%2BQLspxGy3zBjYhRMWfqQsYh9VqM6BWlz38UdqUaKn4GrnbJhO3sBP68upIgjs5ZnwAsCrH11z0xkA%3D&traceId=0b0b459115701640917324360e&union_lens=lensId:0b0b6072_0c93_16d9512ab85_0509&xId=ovUAOKVquGrz0R5fmjfgZzjmW6eE7mQkv04niSodCUQmipoof6Ejn9bEFNExJIFkhckOr93ePPu2ripTR4HKgu&union_lens=lensId:0b0fc015_0c11_16d9512ab85_3a79,'来自淘宝人气：4058117,'593673411246,'6717854733593332483,,,128,9A,TroyBoi《KinjaBang》https://c.y.qq.com/base/fcgi-bin/u?__=JxZPww3 @QQ音乐
'2,'[置顶]美兰Lan,'6718140753295510792,'你们猜到了结局吗？就问你们爽不爽？#美妆 @乃提Guli,'2019-07-27 17:05:43,'312813,'1404,'1004,'HEDONE眼影盘玫瑰香槟烟熏金箔眼影盘ins超火便携珠光bling闪粉,'3144,'109,'1117823128,'101200185471,'http://v26-dy.ixigua.com/938acfc02ab5ccc2e89a0e6ba3d94687/5f0924cc/video/m/220630fe15108d24643ba0e42c9157f62c81163008fd00008c12ca893455/?a=1128&br=3522&bt=1174&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=ajUzO3dyeG40bjMzO2kzM0ApZ2c3M2Y0NTwzNzZkaTkzaGcwMGBxNTZlNHJfLS1fLTBzczI0Y2FeLmIwYS8xX2M0XjI6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DXoX33CGLOidw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMeX%2FC76KnADkJ1gyddu7kN%2Bgo4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMA3AH%2B%2FtbjUKvEX1hlZoQF%2B%2F1SarTXhIOTY%2BB6b2yaC%2B4cTNWtqRPez%2F7nyHmkoZi7a%2BGgOzY7UHJppvCGbenQ59MtvXBoP%2F8Im7mCYPNDvKSXwxfIS7TjS5EIiGF4IqgdIPgUSaeV582hhtE3qy9fAnEqY%2Bakgpmw&union_lens=lensId:0b01e6c4_0bd8_16d9bab5749_5e17&xId=1jRqvHp1P2drMHmyKp17ZVlYNOjEZRILt2E0HauPQLdU5GddgWwWxavDXfx8owhMvVKYDMUQvWkFE9KKhNFmYE&union_lens=lensId:0b1b4ba8_0c57_16d9bab5749_b8a0,'https://uland.taobao.com/coupon/edetail?e=jqI%2FWdb9cRcGQASttHIRqe%2BoI0UBbjFJQuFq3vLjHgH2oFX1XtpywYUxDakcsl21QiXkodPAUWZJuYKLk95oBXt9FBmzVyrLNqlX6WMFrEwXDeHFYFDhNbgYcl6ppmbB77OZi1CaWIp%2BMcw1PGxgpDEhJpUUrcnY0XgA0FWhMYrdyxJOMGkWr8Rlqw%2FTjW%2BQLspxGy3zBjYhRMWfqQsYh9VqM6BWlz38UdqUaKn4GrnbJhO3sBP68upIgjs5ZnwAj%2FoPvzpaIpg%3D&traceId=0b09301b15702747604443663e&union_lens=lensId:0b01e6c4_0bd8_16d9bab5749_5e17&xId=1jRqvHp1P2drMHmyKp17ZVlYNOjEZRILt2E0HauPQLdU5GddgWwWxavDXfx8owhMvVKYDMUQvWkFE9KKhNFmYE&union_lens=lensId:0b1b4ba8_0c57_16d9bab5749_b8a0,'来自淘宝人气：1329896,'595223360525,'6717904795849575172,,,109,4A,群星《斗牛士之歌》https://c.y.qq.com/base/fcgi-bin/u?__=NwrPwwY @QQ音乐
'3,'美兰Lan,'6820228389148953863,'我有一个不善于表达的爸爸，现在才知道他一直在用自己的方式爱我。@立白,2020/4/27 18:00,'697,'24,'2,'立白天然倍净浓缩洗衣凝珠除菌除螨洗衣球洗衣液家用实惠装,'44088,'49.9,'1117823128,'101200185471,'http://v26-dy.ixigua.com/792ad777fa89a1b9bbfd5ece6574291a/5f0924e9/video/tos/cn/tos-cn-ve-15/f7b4d7247ca544a78e76b3a6d304cde5/?a=1128&br=3876&bt=1292&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=ajNwZXJ0PHc4dDMzNmkzM0ApNDw3NWQ1NWU5NzQ5PDg5NWdua2c1MmVwL2dfLS1hLS9zc14tLS4zYy1iXy00YmFfYjU6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DSalTtk7ICp1w4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMSVY2Mx8LiEKJ1gyddu7kN%2Bgo4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMAkj5satYvfFfRre7jpFdu16Q6sZp7gNLm5rVRUC83csYcTNWtqRPez1x%2BbfvFvg8l2fgfj%2FKcjhf6tCDmR1%2BNPxxM1a2pE97PM%2BKEzV6eEkxUXM1cO9VM5iSIzQmZT19KLDzSsrrRxSFSUAU3SEXRB8YOae24fhW0&union_lens=lensId:TAPI@1587958170@0b0f604c_0e29_171b9aec2b9_96b2@01,'https://uland.taobao.com/ccoupon/edetail?e=Y048IXKZR1IE%2BdAb1JoOOp%2BppepR01Znbg5EAAuM2%2FH2oFX1XtpywYUxDakcsl21QiXkodPAUWZJuYKLk95oBXt9FBmzVyrLNqlX6WMFrEwXDeHFYFDhNeji84Xvezvjs%2Ftu6AU7OgBqTU7h99U4mglqpuf3Iu7OCi%2BP3nw3s2r%2BbFLYGvLtLfsnwWZGSCD41ug731VBEQm0m3Ckm6GN2Oy6m0pQJJ4r1hirwhW9MEBDLsaEUNwvhzOKAvSFwHDKonv6QcvcARY%3D&traceId=0b0b3e7415879581700597228e&union_lens=lensId:TAPI@1587958170@0b0f604c_0e29_171b9aec2b9_96b2@01,'来自淘宝人气：15458,'610183525804,'6820228422540561160,,,97,11B,Lost Frequencies/Janieck Devy《Reality》https://c.y.qq.com/base/fcgi-bin/u?__=nBGewwy @QQ音乐
'4,'美兰Lan,'6779136045637291267,'今天的任务是：隐藏年龄！,'2020-01-08 17:00:54,'1460,'22,'9,'一叶子黄金面膜女补水保湿抗初老抗皱抗糖提拉紧致焕亮旗舰店正品,'7202,'119,'1117823128,'101200185471,'http://v26-dy.ixigua.com/578c8be769b5fca3e69181a6c341857d/5f0924d9/video/tos/hxsy/tos-hxsy-ve-0015/5f32d1506e254d8d82841f9556f12bd7/?a=1128&br=3267&bt=1089&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=M2h2ZGtsZ3M4cjMzZWkzM0ApNDxpMzc4aDs7NzM2ZTw2ZWducV5jMGllNF5fLS0vLS9zczNgNjM1Ly0yNF8tLjAxYjU6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DBoiJdblMp8dw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMWUaZPsWQFVG8sviUM61dt2go4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMAfnL%2FSp8IeuAsRW2oTYehBf1SarTXhIOTY%2BB6b2yaC%2B4cTNWtqRPez%2F7nyHmkoZi7uDJve2nkYxGdJa%2BX5n600tMtvXBoP%2F8Im7mCYPNDvKSXwxfIS7TjS5EIiGF4Iqgd%2Fd56SoJntGrXyZlWfJcPOus3jfRiCEcI&union_lens=lensId:0b57b76e_0c53_16f7f69b89e_5725&xId=sBy9aBBXFzNQK4qjq54de0o3DMyoxBPf6CKaiIPBEmYpw9uVzghKGrCxc8vPdZz6AUho8uhcFM30d7Pc8fwQZu&union_lens=lensId:0b0b3631_1188_16f7f69b8a0_7873,','来自淘宝人气：264055,'607890955684,'6779124051601591043,,,82,8A,ko-ko-ya (コーコーヤ)《特別な一日 (特别的一天)》https://c.y.qq.com/base/fcgi-bin/u?__=8nzewwV @QQ音乐
'5,'美兰Lan,'6754221406164208908,'一定要让自己吃的土物超所值啊#我在意的都给你 @抖音小助手,'2019-11-01 14:28:46,'9103,'99,'14,'SKG 美容仪 家用 冰肌导入导出 温热 冰敷 提拉紧致 面部嫩肤仪 3249,'505,'499,'1117823128,'101200185471,'http://v26-dy.ixigua.com/26e5f6234c027e606bb3c782e837685f/5f0924ce/video/m/220b79b00c617bc42e6949886ab62e493f61163fbc8200008d8487a379d6/?a=1128&br=3810&bt=1270&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=M2tyeWZsdXl3cDMzZ2kzM0ApPGg2OjplZ2U5Nzc6NDtnOmdiaV80M29jLXFfLS02LS9zc140NF42LWFgNWA0YmA0Ml46Yw%3D%3D&vl=&vr=,'https://u.jd.com/4XEDyR,','来自京东人气：469,'100005743892,'6754216681482423047,,,124,5A,D1ofaquavibe《The Party Troll》https://c.y.qq.com/base/fcgi-bin/u?__=Snoewwe @QQ音乐
'6,'美兰Lan,'6752770143799053581,'我今天真的是亏大了！我的倍轻松护眼仪#美妆 @抖音小助手,'2019-10-28 16:37:07,'6476,'24,'25,'倍轻松AI眼精灵 iSeeX声控护眼仪眼部按摩器智能眼保仪,'161,'699,'1117823128,'101200185471,'http://v26-dy.ixigua.com/4a2c247c6298240503896dbd930c1672/5f0924db/video/m/220e934cf4f1e57440fafd433387e4eda9a1163fc5cb00000ffe41c0c13b/?a=1128&br=3522&bt=1174&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=M3VsM3g1OTZkcDMzOmkzM0ApPGU4Zjs2aTs5N2k2ZTM0aWdoMTBjbmdfZW9fLS1eLS9zczZhLS0yYGA2L15eYWMuYmI6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3D%2F6ri2W48yNVw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMXGFnbu1oDiWlovu%2FCElQOugo4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMAzkk09NHGNkP0W%2F0AyedX3P1SarTXhIOTrhzfEh3ilxbYR16Frqer%2F9kYvQZuIwx3oGeIQL4Fi9E7A%2FPSSo%2FDtIzbGbjosNhlk8JK01RBLHZtu84DtRxauk9RNdF9PG1054D9O%2FIWQ4%2BVlMEqA3PwTyB4b8xwNKLSxg5p7bh%2BFbQ%3D&union_lens=lensId:0b17774d_0c29_16e1182fc31_af0b&xId=NPmd2ieWCFfsj4DiSg4sgk4wAoXlGOFPYFTjnQAtnHXSY4QIkJy6VQ7OpyzeUazwHVqRfdSml4rnrFpCwXrg9a&union_lens=lensId:0b1aeb4a_0c18_16e1182fc34_24c8,','来自淘宝人气：33708,'596793171496,'6752764198838684420,,,90,9A,ke-ki《Boudoir Bop》https://c.y.qq.com/base/fcgi-bin/u?__=wGMewwR @QQ音乐
'7,'美兰Lan,'6749805997235260686,'顿时感觉自己拯救了全世界……#美妆 #美丽浙江 @小魔女洋洋洋,'2019-10-20 16:54:38,'3193,'24,'10,'完美日记小酒管水光唇釉联名款新色唇彩唇蜜口红持久保湿镜面学生,'63863,'59.9,'1117823128,'101200185471,'http://v26-dy.ixigua.com/825c8e06ac40a8d2b4e3e22766a68ef4/5f0924ce/video/m/22068f38195fd8f4993b6f5138128b4e4541163e44fc000035ab0c0d25bc/?a=1128&br=3624&bt=1208&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=M3Y1cjR1aHA1cDMzaGkzM0ApZGQ1OWU5Zzw7Nzg8ODhlOGdfM3NlLm1eLWpfLS01LS9zc18tLjYuLTU1MTA2X18uYl86Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DNAbg5QxTootw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMfbTW2HyDgQr8sviUM61dt2go4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMAfVugKHQq3kHAVxT5uJ5Iiv1SarTXhIOTY%2BB6b2yaC%2B4cTNWtqRPez%2F7nyHmkoZi7Kk0b5xmWL%2Bn1aIRPU%2Bqg7NMtvXBoP%2F8Im7mCYPNDvKSXwxfIS7TjS5EIiGF4IqgdIPgUSaeV582hhtE3qy9fAnEqY%2Bakgpmw&union_lens=lensId:0b1545dd_0c26_16e113e3dbb_90a7&xId=nx5XWwag8Gjm7Uv8P4ho0UQJgY2KMTfnvh9aC3rBEHjHXgxFwfF5YmEB0FsQFPukSSjIWWxf8mj3uErLJCO1Pf&union_lens=lensId:0b1aeb4a_0c18_16e113e3dbe_8a28,','来自淘宝人气：5429580,'600531756620,'6749799462690065159,,,85,10B,King Joe《Kung Fu (功夫)》https://c.y.qq.com/base/fcgi-bin/u?__=Sg2ewws @QQ音乐
'8,'美兰Lan,'6748335502270795020,'走进工厂去看看，我们明天精彩继续！#美妆 #我是诗词达人 @抖音小助手,'2019-10-16 17:48:22,'475,'14,'10,'韩束高机能红胶囊补水保湿弹润爽肤水护肤收缩毛孔化妆精华水正品,'49343,'95,'1117823128,'101200185471,'http://v26-dy.ixigua.com/72a79549bfa8df5642a1b80f9f1260b7/5f0924b1/video/m/220cae5ffe9b1d44e9c81c7f4974b53620e1163dc9a70000659286b5ffca/?a=1128&br=3390&bt=1130&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=amd3ajdwc3FocDMzOmkzM0ApZjtpOTNoOGQ3N2ZoPGg3M2c1anMuamZhYmdfLS1gLTBzcy5hYl5eMzVgXl9hXzUyLjM6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DN%2BRVFbcDiexw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMfbTW2HyDgQrMMgx22UI05ago4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMAxzUxoB29yTPEpBUtJrIEFwOKb4RBvTUM4gAEq9KawJzvPw63siJT687AMx9cWAx%2BTqqD3S%2FyRBDPdENQlVEohJvwKq1YN4qJZmCpj0I5V4Im%2BBUS%2Bsp%2BO0C0Lao9jUAjO0KtyLFb4ki6T3Avo8XAcCGFCzYOOqAQ&union_lens=lensId:0b01e6c4_0c65_16e113e561d_8c4d&xId=wZbUVTT57KYR20UnM2KPgTEftrQdfuebd0M2adrE8EhMT5aICSC1tno0kBVwQ4PTNlOGKT9WujSUf4bQCXqCSx&union_lens=lensId:0b0b00e4_0c31_16e113e561f_6a34,','来自淘宝人气：2559902,'578958118534,'6748330545064987405,,,130,11B,Tyron Hapi/Bianca《Lost Control(feat. Bianca)》https://c.y.qq.com/base/fcgi-bin/u?__=NDVewwQ @QQ音乐
'9,'美兰Lan,'6746105906372611339,'散粉的多种用法，你都知道吗？#美妆 #看见每个你 @抖音小助手,'2019-10-10 17:36:24,'1573,'19,'35,'完美日记金色散粉蜜粉定妆粉持久控油防水防汗空气蜜粉三丽鸥联名,'127101,'79.9,'1117823128,'101200185471,'http://v26-dy.ixigua.com/90d850a33366156df4c7f2bcb03da093/5f0924db/video/m/2205f206adb37dd45efb40f2150d30e80551163c41fb000052f8258e3a14/?a=1128&br=2886&bt=962&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=M248N3Buc3VpcDMzN2kzM0ApODxmNTZoZDxnN2Q2ZjhpPGdoZm9qYXBtamNfLS1gLS9zc2JhMDQyYC1gMWJjLTZiLmE6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DyFFKxlosst1w4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMb6AO77UdDTexq3IhSJN6GSgo4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMAfVugKHQq3kHAVxT5uJ5Iiv1SarTXhIOTY%2BB6b2yaC%2B4cTNWtqRPez%2F7nyHmkoZi7FEgkIOcskwQ4zETIauegDdMtvXBoP%2F8Im7mCYPNDvKSXwxfIS7TjS5EIiGF4IqgdIPgUSaeV582hhtE3qy9fAnEqY%2Bakgpmw&union_lens=lensId:0b1b2b7f_0c36_16e113ee3d2_badb&xId=jCCBcmfAlc6VrtmTmTKMD5E4env4nozbcLG85GRPFJRDAtBUPkRadQvwlver9bOWXeejKA8rJgqsYx2oDakA8j&union_lens=lensId:0b0ad220_0c50_16e113ee3d4_2daa,'https://uland.taobao.com/coupon/edetail?e=odqzUiVRA7wE%2BdAb1JoOOidDXqQbaL0%2FrPz9QiUT6Ej2oFX1XtpywYUxDakcsl21QiXkodPAUWZJuYKLk95oBXt9FBmzVyrLNqlX6WMFrEwXDeHFYFDhNbgYcl6ppmbB77OZi1CaWIp%2BMcw1PGxgpDEhJpUUrcnY0XgA0FWhMYrdyxJOMGkWr8Rlqw%2FTjW%2BQLspxGy3zBjYhRMWfqQsYh9VqM6BWlz38UdqUaKn4GrnbJhO3sBP68m64zALlG37VDBfUsJFT3LQ%3D&traceId=0b1b5b0715722473645197968e&union_lens=lensId:0b1b2b7f_0c36_16e113ee3d2_badb&xId=jCCBcmfAlc6VrtmTmTKMD5E4env4nozbcLG85GRPFJRDAtBUPkRadQvwlver9bOWXeejKA8rJgqsYx2oDakA8j&union_lens=lensId:0b0ad220_0c50_16e113ee3d4_2daa,'来自淘宝人气：3895762,'601223187476,'6746069483124771591,,,136,4A,分享iKON的单曲《LOVE SCENARIO》:?http://music.163.com/song/1311347412/?userid=1508029736?(来自@网易云音乐)
'10,'美兰Lan,'6743867719625510152,'怎么能忍受草莓一样的鼻子！必须治他！#美妆 @会化妆的包子,'2019-10-04 16:51:04,'5001,'54,'41,'阿芙荷荷巴油/霍霍巴油 黑头jojoba精油基础油护肤脸部面部按摩去,'11218,'98,'1117823128,'101200185471,'http://v26-dy.ixigua.com/abc70d916295abab4fb752435f0e3ec1/5f0924d3/video/m/220cd0ea39aa43a478da9e328808c9bbf5c1163b76e0000009341b1ed0c3/?a=1128&br=3393&bt=1131&cr=3&cs=0&dr=0&ds=6&er=&l=20200711093200010014047205179B2E75&lr=all&mime_type=video_mp4&qs=0&rc=ajRyeDx5czpqcDMzaWkzM0ApODc0ZWYzZjxpN2Q7ZWdpaGdpaF4tM25fY19fLS1hLS9zczIwYjZhYzNhX2I1XmAzNmI6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DNK%2BdAp3kUkpw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMfD4LHD%2F6X1Ft4hWD5k2kjOgo4ckCI9nmRArOr895NZCZmeqMCTvL48AJ398%2BLwQh4z4rjZDGVMAdYeOIShqURIxMJagSGyxTKQ6sZp7gNLm5rVRUC83csYcTNWtqRPez%2F7nyHmkoZi71hjz2dNwkcSafokZLWsOkAhf4gd7Ve8pHEzVrakT3s8z4oTNXp4STFRczVw71UzmJIjNCZlPX0qiuRa0s1sRMj17DWP7A46c&union_lens=lensId:0b012f08_0c25_16e113f2bf7_51a7&xId=iLZJEdVg5OgcMJkHAeo956m8UMLmPC4lLHEQVx95EacGZfUsr2RK2u41W8Tqm0L02lLxgl6p5LUmXTgywSmNts&union_lens=lensId:0b1af702_0c86_16e113f2bf9_465c,'https://uland.taobao.com/coupon/edetail?e=3NAbtarf1Dg8Clx5mXPEKmeLFiB9eNllVzNzw3NIwUzRrLgYqRo6Dzj9MR5um9Ra6C4R0lhpdUd4dc5TiSQCuyfcmQ7b4KSaM6EfiHR4Se8RlL5JUrjdOysr75DU1fd3tKhhTwaSVOT%2FsIx9wwpia5Q5wfGz%2Fu%2BNaKFFpWJJnw5diwTmD3eVNiZ6Y%2FpkHtT5QS0Flu%2FfbSovkBQlP112cACbVeUhNk1aUgcFRmPI31g6A%2FdD%2Fod8tka6Vn3wIl2eUbSlxttW8FY%3D&traceId=0b0f763415722473829802313e&union_lens=lensId:0b012f08_0c25_16e113f2bf7_51a7&xId=iLZJEdVg5OgcMJkHAeo956m8UMLmPC4lLHEQVx95EacGZfUsr2RK2u41W8Tqm0L02lLxgl6p5LUmXTgywSmNts&union_lens=lensId:0b1af702_0c86_16e113f2bf9_465c,'来自淘宝人气：6708698,'4617621732,'6743856754901289735,,,139,11A,分享?? ? ?? ?? (RGP)/权正烈的单曲《Beautiful Girl》:?http://music.163.com/song/30987373/?userid=1508029736?(来自@网易云音乐)
